MatrixSize;Nthreads;Time;SpmvTime;DotTime;LinCombTime;Residual;Error
15625000;2;26.8636;0.00961347;1.20613;0.802778;2.1332e-09;3.03705e-09
15625000;16;7.35448;0.00141539;0.29456;0.429227;2.1332e-09;3.03705e-09
15625000;16;7.25897;0.00135298;0.355043;0.401761;2.1332e-09;3.03705e-09
1000000;1;1.82648;0.000589572;0.146694;0.0923371;3.16216e-12;8.18254e-13
15625000;32;4.89998;0.000695025;0.184807;0.187875;2.1332e-09;3.03705e-09
1000000;4;0.786326;0.000234844;0.0397686;0.0355104;3.16073e-12;8.18265e-13
1000000;2;1.45109;0.00143292;0.0802972;0.0723938;3.16067e-12;8.18286e-13
15625000;32;4.88117;0.000694968;0.184879;0.187368;2.1332e-09;3.03705e-09
8000000;4;6.69668;0.00189773;0.334548;0.32531;3.58365e-09;5.12588e-09
1000000;4;0.778609;0.000235297;0.039425;0.0362348;3.16073e-12;8.18265e-13
8000000;2;9.62117;0.00342374;0.627278;0.454049;3.58365e-09;5.12588e-09
15625000;32;4.90922;0.000696754;0.181056;0.189222;2.1332e-09;3.03705e-09
1000000;1;2.07788;0.000584506;0.1552;0.11735;3.16216e-12;8.18254e-13
1000000;2;1.2808;0.000291733;0.0792404;0.064492;3.16067e-12;8.18286e-13
8000000;4;6.76436;0.00191375;0.336089;0.341219;3.58365e-09;5.12588e-09
8000000;1;15.7715;0.00467757;1.22987;0.755725;3.58365e-09;5.12588e-09
15625000;32;4.90348;0.000695962;0.182558;0.197691;2.1332e-09;3.03705e-09
1000000;4;0.781541;0.00023538;0.0397786;0.0364926;3.16073e-12;8.18265e-13
1000000;1;1.80624;0.000576257;0.146541;0.0924938;3.16216e-12;8.18254e-13
1000000;2;0.948756;0.000287273;0.0719141;0.0417832;3.16067e-12;8.18286e-13
8000000;4;6.77447;0.00188728;0.349005;0.329705;3.58365e-09;5.12588e-09
1000000;4;0.77362;0.000235199;0.0392173;0.0351193;3.16073e-12;8.18265e-13
8000000;2;10.2458;0.00233827;0.644216;0.481937;3.58365e-09;5.12588e-09
8000000;1;15.633;0.00467065;1.22538;0.747027;3.58365e-09;5.12588e-09
8000000;4;6.68393;0.00188155;0.336669;0.325016;3.58365e-09;5.12588e-09
1000000;1;1.83182;0.000576832;0.147926;0.0890232;3.16216e-12;8.18254e-13
1000000;2;1.00809;0.00029207;0.0741021;0.04786;3.16067e-12;8.18286e-13
8000000;1;14.7562;0.00456757;1.21089;0.662252;3.58365e-09;5.12588e-09
8000000;2;8.32663;0.00231321;0.615519;0.363406;3.58365e-09;5.12588e-09
15625000;1;50.4141;0.195178;2.38772;1.44441;2.1332e-09;3.03705e-09
8000000;2;8.22288;0.0022904;0.621658;0.379574;3.58365e-09;5.12588e-09
15625000;4;15.9675;0.00522055;0.632982;0.607929;2.1332e-09;3.03705e-09
15625000;1;49.5358;0.192129;2.35479;1.29954;2.1332e-09;3.03705e-09
8000000;1;15.3496;0.00462493;1.21765;0.717168;3.58365e-09;5.12588e-09
15625000;1;50.6001;0.198923;2.38869;1.47489;2.1332e-09;3.03705e-09
15625000;4;15.9412;0.00522143;0.633307;0.608595;2.1332e-09;3.03705e-09
15625000;2;26.3365;0.00969739;1.18933;0.708543;2.1332e-09;3.03705e-09
15625000;2;26.0561;0.00961039;1.1878;0.664822;2.1332e-09;3.03705e-09
15625000;8;9.58639;0.00263245;0.324179;0.422951;2.1332e-09;3.03705e-09
15625000;1;49.6459;0.192239;2.35655;1.34065;2.1332e-09;3.03705e-09
15625000;4;15.9043;0.00517725;0.627753;0.610903;2.1332e-09;3.03705e-09
15625000;2;26.3178;0.0096202;1.19743;0.710817;2.1332e-09;3.03705e-09
15625000;8;9.58299;0.00263622;0.32388;0.424408;2.1332e-09;3.03705e-09
15625000;8;9.56809;0.00263026;0.327453;0.41341;2.1332e-09;3.03705e-09
15625000;4;15.8761;0.00519968;0.629787;0.604237;2.1332e-09;3.03705e-09
15625000;2;25.9879;0.00973235;1.18128;0.653918;2.1332e-09;3.03705e-09
1000000;1;1.95004;0.000660365;0.145787;0.0913417;3.16216e-12;8.18254e-13
1000000;8;16.3929;0.0846315;0.87425;1.14963;1.11775e-06;7.49888e-07
1000000;8;27.8544;0.20266;1.512;1.9788;3.10686e-12;8.28069e-13
1000000;8;27.2472;0.211208;1.21994;1.71791;3.10686e-12;8.28069e-13
1000000;8;25.1529;16.0544;1.15049;1.60752;3.10686e-12;8.28069e-13
